,t,q_w,q_x,q_y,q_z,w_x,w_y,w_z,motor_FR,motor_BR,motor_BL,motor_FL
68,3.4000000000000004,1.0,-7.427442877077002e-20,-1.3379545820989322e-19,8.872582399154791e-20,-1.1118064794074685e-19,9.754814342485153e-20,-1.2831472305786366e-21,0.00012198333527198197,0.00012198333527198192,0.00012198333527198197,0.00012198333527198193
69,3.45,1.0,-7.693276715136962e-20,-1.3123557680635288e-19,8.865779721716412e-20,-1.1118064794074685e-19,1.0724236885837714e-19,-3.200378890276012e-21,0.00012198383659424241,0.00012198383659424241,0.00012198383659424241,0.00012198383659424242
70,3.5,1.0,-7.946992771405016e-20,-1.286756954028125e-19,8.860574737327781e-20,-9.663930979045843e-20,7.815969255780032e-20,-1.6476209575516773e-22,0.00012198426113157409,0.00012198426113157419,0.0001219842611315741,0.00012198426113157414
71,3.5500000000000003,1.0,-8.249179954840698e-20,-1.272064143605438e-19,8.869748990386881e-20,-1.5480466239161208e-19,4.422990354046069e-20,7.823703152983895e-21,0.00012198462028328624,0.00012198462028328635,0.00012198462028328624,0.00012198462028328634
72,3.6,1.0,-8.648309392611635e-20,-1.2646420022578952e-19,8.899693253092702e-20,-1.4995754967484927e-19,1.0300114523121053e-20,1.5652399096748178e-20,0.00012198492378392752,0.00012198492378392761,0.00012198492378392754,0.00012198492378392761
73,3.6500000000000004,1.0,-8.962614357839224e-20,-1.2644905299854965e-19,8.948010985870622e-20,-9.17921970736956e-20,6.058890895954415e-22,2.2682248515638552e-20,0.00012198517994413698,0.00012198517994413704,0.00012198517994413699,0.00012198517994413706
74,3.7,1.0,-9.143623723355835e-20,-1.2607037231755256e-19,9.012305649146019e-20,-6.270952077311877e-20,5.39241289739863e-20,2.875348210468024e-20,0.00012198539585685532,0.00012198539585685536,0.0001219853958568553,0.00012198539585685537
75,3.75,1.0,-9.300397525288632e-20,-1.2447991345736473e-19,9.090580126606711e-20,-7.240374620664438e-20,7.331257984103751e-20,3.354656125392368e-20,0.00012198557757385871,0.00012198557757385874,0.00012198557757385869,0.00012198557757385874
76,3.8000000000000003,1.0,-9.457171327221428e-20,-1.2167767641798622e-19,9.178840185628326e-20,-3.847395718930474e-20,1.654077214595308e-19,3.6901716658394094e-20,0.00012198573025686692,0.0001219857302568669,0.0001219857302568669,0.00012198573025686697
77,3.85,1.0,-9.468531747651342e-20,-1.1669423865606445e-19,9.272692170324059e-20,9.997169978323317e-21,2.1872596134392164e-19,3.754079387829322e-20,0.00012198585830687122,0.0001219858583068712,0.0001219858583068712,0.00012198585830687122
78,3.9000000000000004,1.0,-9.431421040913627e-20,-1.1110491180454734e-19,9.36294934565786e-20,1.9691395411848926e-20,2.0903173591039603e-19,3.3866099863873247e-20,0.00012198596547480563,0.00012198596547480559,0.00012198596547480564,0.00012198596547480556
79,3.95,1.0,-9.479134806719262e-20,-1.064850074963828e-19,9.439226706806367e-20,-8.209797164016999e-20,1.6056060874276795e-19,2.6516711835033306e-20,0.00012198605495624162,0.00012198605495624154,0.00012198605495624159,0.0001219860549562415
80,4.0,1.0,-9.696497517611593e-20,-1.0331923700324708e-19,9.495133481570588e-20,-5.786240805635596e-20,8.785391799132587e-20,1.836847728131946e-20,0.0001219861294723992,0.00012198612947239917,0.00012198612947239927,0.00012198612947239916
81,4.05,1.0,-9.744211283417226e-20,-1.0221348941473557e-19,9.533465632787586e-20,5.1500572615605145e-21,2.96885653901722e-20,1.2137474387302994e-20,0.00012198619133944237,0.00012198619133944229,0.00012198619133944236,0.00012198619133944229
82,4.1000000000000005,1.0,-9.767689485639045e-20,-1.00986564008305e-19,9.55502200698223e-20,-4.8168182622830345e-20,6.846546712427464e-20,4.947855663437837e-21,0.0001219862425277431,0.000121986242527743,0.00012198624252774307,0.000121986242527743
83,4.15,1.0,-9.924463287571843e-20,-9.854786042268371e-20,9.559003757629647e-20,-6.270952077311875e-20,1.3147793244219112e-19,-1.9222244504777583e-21,0.0001219862847125585,0.0001219862847125584,0.0001219862847125585,0.00012198628471255843
84,4.2,1.0,-1.0008530398753199e-19,-9.477620083995266e-20,9.544612038204966e-20,5.150057261560536e-21,1.702548341762936e-19,-9.43138178429248e-21,0.00012198631931735723,0.00012198631931735715,0.00012198631931735724,0.00012198631931735718
85,4.25,1.0,-9.935066346639764e-20,-9.003511871386903e-20,9.512645695233059e-20,5.3621184429188596e-20,2.0903173591039607e-19,-1.6621000508157634e-20,0.00012198634755085515,0.00012198634755085506,0.00012198634755085515,0.00012198634755085507
86,4.3,1.0,-9.788895603774886e-20,-8.444579186235191e-20,9.459509919351994e-20,5.36211844291886e-20,2.4296152492773574e-19,-2.652669741659407e-20,0.00012198637043866692,0.00012198637043866676,0.00012198637043866686,0.00012198637043866676
87,4.3500000000000005,1.0,-9.776020460620986e-20,-7.764468683164409e-20,9.37601797552572e-20,-3.847395718930471e-20,2.8658553937860103e-19,-4.0586396254374824e-20,0.0001219863888503509,0.00012198638885035074,0.00012198638885035089,0.00012198638885035073
88,4.4,1.0,-9.920676480761876e-20,-7.023769271134093e-20,9.25657793808012e-20,-6.270952077311873e-20,3.156682156791779e-19,-5.464609509215558e-20,0.00012198640352251372,0.00012198640352251356,0.00012198640352251372,0.00012198640352251359
89,4.45,1.0,-1.0016861373735139e-19,-6.222480950144242e-20,9.104385193114691e-20,-1.4238393605490666e-20,3.1082110296241508e-19,-6.678856227023895e-20,0.00012198641507854287,0.00012198641507854277,0.00012198641507854291,0.00012198641507854278
90,4.5,1.0,-9.979750666997422e-20,-5.493899319905832e-20,8.925031666303549e-20,3.90798462789002e-20,2.768913139450754e-19,-7.557587404385193e-20,0.00012198642404545602,0.00012198642404545596,0.00012198642404545602,0.00012198642404545596
91,4.55,1.0,-9.833579924132541e-20,-4.8380243804188643e-20,8.730100632257364e-20,8.755097344652825e-20,2.4296152492773574e-19,-7.988964527817103e-20,0.00012198643086828473,0.00012198643086828469,0.00012198643086828476,0.00012198643086828473
92,4.6000000000000005,1.0,-9.541995799764779e-20,-4.230620568099525e-20,8.527181132962442e-20,1.214807624638679e-19,2.284201867774473e-19,-8.212641554781798e-20,0.00012198643592234936,0.00012198643592234935,0.00012198643592234936,0.00012198643592234932
93,4.65,1.0,-9.27464723898083e-20,-3.708041228323535e-20,8.318270284730965e-20,9.239808616329106e-20,1.9449039776010764e-19,-8.46827244274145e-20,0.00012198643952373226,0.00012198643952373225,0.00012198643952373226,0.00012198643952373222
94,4.7,1.0,-9.09212315074023e-20,-3.3066397064666153e-20,8.101370971250747e-20,6.331540986271423e-20,1.2178370700866555e-19,-8.97953421866075e-20,0.0001219864419382098,0.00012198644193820974,0.00012198644193820984,0.00012198644193820971
95,4.75,1.0,-8.921716844291538e-20,-3.0627693479044866e-20,7.865299341173556e-20,7.300963529623985e-20,1.1208948157513993e-19,-9.92217311801196e-20,0.00012198644338886819,0.00012198644338886808,0.00012198644338886819,0.0001219864433888681
96,4.800000000000001,1.0,-8.727074974259029e-20,-2.7704278621747295e-20,7.608058278187207e-20,5.846829714595143e-20,1.1208948157513993e-19,-1.0577227268408562e-19,0.00012198644406259394,0.00012198644406259386,0.00012198644406259391,0.00012198644406259386
97,4.8500000000000005,1.0,-8.605139794977964e-20,-2.4780863764449727e-20,7.336437977753129e-20,4.8774071712425817e-20,1.1693659429190274e-19,-1.112044290532282e-19,0.00012198644411560427,0.00012198644411560423,0.00012198644411560429,0.00012198644411560423
98,4.9,1.0,-8.446851270321178e-20,-2.2220982360909368e-20,7.055630942283001e-20,7.300963529623983e-20,8.785391799132589e-20,-1.1264235279800122e-19,0.00012198644367815661,0.00012198644367815664,0.00012198644367815663,0.00012198644367815664
99,4.95,1.0,-8.276444963872485e-20,-2.0024634411126223e-20,6.777220446387493e-20,4.87740717124258e-20,1.023952561416143e-19,-1.0976650530845517e-19,0.00012198644285855662,0.00012198644285855665,0.0001219864428585566,0.00012198644285855665
100,5.0,1.0,-8.178745348175235e-20,-1.6980041735909584e-20,6.507597262265597e-20,3.423273356213738e-20,1.266308197254283e-19,-1.0609181129403521e-19,0.00012198644174656907,0.00012198644174656913,0.00012198644174656907,0.00012198644174656913
101,5.050000000000001,0.9999999988872404,3.891772501401213e-05,-1.381183517897865e-20,6.244026221894104e-20,0.00455893350164143,1.2662341968864984e-19,-1.0545273407413609e-19,7.402089805646154e-05,7.402089805646157e-05,0.0023591382531432292,0.0023591382531432292
102,5.1000000000000005,0.9999999607372545,0.00027662548761233166,-1.063187755137945e-20,5.98072121862386e-20,0.015155808707374194,1.2657849285783827e-19,-1.0545273407413609e-19,4.509475955308896e-05,4.509475955308899e-05,0.0034338240862919053,0.0034338240862919053
103,5.15,0.9999996695240694,0.0008117240066372922,-7.435924332104147e-21,5.730510000472029e-20,0.027673757345044982,1.2648226612333974e-19,-9.522749855575008e-20,0.0002022065863356657,0.0002022065863356659,0.0036252046197963158,0.0036252046197963158
104,5.2,0.9999986299053587,0.0016548846270965205,-4.225427584083769e-21,5.493307004106401e-20,0.03956088982196787,2.814459674898893e-19,-9.011488079655708e-20,0.00039572795632732247,0.0003957279563273225,0.003473700176626763,0.0034737001766267637
105,5.25,0.9999961389798381,0.0027786674326479733,1.0629031439464754e-20,5.3096611521574397e-20,0.05009735384022383,5.915105446576135e-19,-5.432655648220608e-20,0.0005417409844630546,0.0005417409844630551,0.003233031478173639,0.0032330314781736395
106,5.300000000000001,0.9999913930521069,0.004148877351239957,1.385765937662975e-20,5.211060662498511e-20,0.05930441530819834,-1.8412217469222727e-19,-2.3650849927048075e-20,0.0006355293359962156,0.000635529335996216,0.0029858493426526056,0.002985849342652606
107,5.3500000000000005,0.9999835583650155,0.0057343405303226765,9.337777437710549e-21,5.180421351063065e-20,0.06734622729618009,-2.904498287663769e-20,-6.440700106795714e-22,0.000696347963786637,0.000696347963786637,0.00274951314357934,0.0027495131435793397
108,5.4,0.9999718167424121,0.0075077038764351,4.826484007890007e-21,5.161744536245725e-20,0.07435733203782281,-1.0661708948444927e-19,-1.0869305529065573e-20,0.000739446577155314,0.0007394465771553138,0.0025260255312517846,0.0025260255312517846
109,5.45,0.9999554000283225,0.009444471233973023,6.140614728032809e-21,5.128139609655957e-20,0.0804358502481428,2.811053039551077e-19,-1.5981923288258574e-20,0.0007723695423153201,0.0007723695423153199,0.002315821885159724,0.002315821885159724
110,5.5,0.9999336157250025,0.01152234232181393,1.5217189332060722e-20,5.082972448755685e-20,0.0856622238972788,3.5858056938702987e-19,-2.6207158806644575e-20,0.0007983149957403132,0.0007983149957403133,0.002119221009528065,0.002119221009528065
111,5.550000000000001,0.9999058640073434,0.013720913517785033,2.2359437254421674e-20,5.0290035913866747e-20,0.09010869052272147,4.827243342269214e-20,-2.3650849927048075e-20,0.0008188231477806553,0.0008188231477806553,0.0019360735820835558,0.0019360735820835558
