x,y,z,yaw,x_ref,y_ref,z_ref,yaw_ref
-1.114135503768921,1.2122641801834113,5.776811599731445,56.717352919054015,-1.4172790697594513,1.3794581049543926,5.797314849965175,-0.2564527745263001
-1.2820663452148438,1.3426933288574225,5.75774621963501,56.705876059653036,-1.5939566064561617,1.5294069254508742,5.761979342625832,-0.2564527745263001
-1.4363865852355957,1.459984183311463,5.74295711517334,55.94849620151102,-1.76836476210083,1.6707846303200766,5.727097711496898,-0.2564527745263001
-1.6033332347869873,1.5854738950729377,5.719982147216797,55.81117288157524,-1.9402624889384068,1.802809902810775,5.692718166129383,-0.2564527745263001
-1.8291410207748413,1.7577639818191535,5.669659614562988,56.657832058462546,-2.109412208852204,1.924753111917305,5.658888222146624,-0.2564527745263001
-1.9665478467941284,1.8513765335083014,5.627169609069824,57.19416174760475,-2.2755801417182284,2.035940344648497,5.625654635573419,-0.2564527745263001
-2.123854875564575,1.9458611011505134,5.572760105133057,57.23140490342848,-2.4385366285103216,2.1357571303738108,5.593063338215,-0.2564527745263001
-2.256540060043335,2.0203919410705575,5.529368877410889,56.96933969402726,-2.5980564487096016,2.2236518366642657,5.561159374175144,-0.2564527745263001
-2.389284372329712,2.0925652980804452,5.490955352783203,56.965840900192525,-2.75391913157946,2.2991387178612213,5.5299868376011725,-0.2564527745263001
-2.5200319290161133,2.1602287292480478,5.452993869781494,57.91315232297012,-2.905909260875952,2.3618005995252456,5.499588811741875,-0.2564527745263001
-2.6700522899627686,2.2253003120422368,5.4042816162109375,59.128223261391845,-3.053816772572422,2.4112911839296025,5.470007309402581,-0.2564527745263001
-2.817253589630127,2.2692396640777592,5.355891227722168,59.90393660762274,-3.1261754369151835,2.4310088811543227,5.455535576534028,-0.2564527745263001
-2.8624918460845947,2.2786684036254887,5.342523097991943,60.16298156471213,-3.197437245186869,2.4473369638571607,5.441283214879691,-0.2564527745263001
-3.014164924621582,2.3052365779876713,5.310923099517822,60.23235390534429,-3.3365721823108268,2.4697387341242294,5.413456227454899,-0.2564527745263001
-3.1352572441101074,2.325114011764527,5.2941179275512695,59.729001331724795,-3.4710292869492436,2.4783726924779494,5.386564806527216,-0.2564527745263001
-3.2930033206939697,2.3420407772064213,5.273281097412109,59.72372711722855,-3.600622727292224,2.4731911237831983,5.36064611845862,-0.2564527745263001
-3.4218997955322266,2.342558383941651,5.256897449493408,60.34729267557524,-3.725173393551304,2.454222663717876,5.335735985206804,-0.2564527745263001
-3.5405337810516357,2.323424339294434,5.243244171142578,60.66152162939489,-3.844509145505283,2.4215721405192756,5.311868834816008,-0.2564527745263001
-3.647449493408203,2.287535190582276,5.232533931732178,62.20346489128336,-3.9584650504134915,2.37541999565612,5.289077653834366,-0.2564527745263001
-3.803361177444458,2.2022116184234624,5.2208571434021,63.591691506579814,-4.066883610967667,2.316021286627893,5.267393941723531,-0.2564527745263001
-3.887716770172119,2.141114950180054,5.207077503204346,64.23239446671981,-4.169614982967402,2.2437042774024376,5.246847667323585,-0.2564527745263001
-3.9866061210632324,2.0611219406127934,5.180842399597168,65.11673909890067,-4.266517182418295,2.1588686242817055,5.227467227433405,-0.2564527745263001
-4.073383331298828,1.9680337905883796,5.160313129425049,65.31555118720362,-4.357456281766614,2.0619831672213715,5.209279407563742,-0.2564527745263001
-4.148932933807373,1.8686399459838874,5.144911766052246,66.20827850235875,-4.442306594999205,1.9535833388104802,5.1923093449172235,-0.2564527745263001
-4.225656032562256,1.7508457899093635,5.131555080413818,66.57129220353053,-4.520950851352873,1.8342682052302663,5.17658049364649,-0.2564527745263001
-4.333117961883545,1.5852866172790534,5.115687370300293,66.24005194952282,-4.593280357393116,1.7046971555451302,5.162114592438441,-0.2564527745263001
-4.397478103637695,1.476969480514527,5.1053080558776855,66.85319474440472,-4.659195147238235,1.565586257622255,5.148931634469418,-0.2564527745263001
-4.462766170501709,1.3395631313323981,5.0990424156188965,67.13352019125456,-4.718604120721165,1.4177043008186734,5.137049839772832,-0.2564527745263001
-4.509318828582764,1.2133334875106818,5.094448566436768,67.7161598274766,-4.771425169298097,1.2618685473056837,5.126485630057445,-0.2564527745263001
-4.551427841186523,1.0831296443939216,5.089336395263672,68.84953517627999,-4.8175852895298785,1.0989402155107064,5.117253606011089,-0.2564527745263001
-4.600639343261719,0.9322566986083991,5.080484390258789,68.889115953308,-4.857020683979319,0.9298197206371033,5.1093665271212005,-0.2564527745263001
-4.639911651611328,0.8111312985420234,5.067197322845459,69.26322468822005,-4.889676849384995,0.7554416985649978,5.102835294040066,-0.2564527745263001
-4.6743903160095215,0.6861872673034675,5.058192253112793,69.11415380786495,-4.903448249106425,0.666581278051745,5.10008101409578,-0.2564527745263001
-4.702787399291992,0.545851647853852,5.05025053024292,69.05549809098248,-4.925853890534331,0.48613151379247294,5.0955998858101985,-0.2564527745263001
-4.719038486480713,0.40009650588035645,5.044879913330078,69.84429703572492,-4.94138516923707,0.3028762428187609,5.092493630069651,-0.2564527745263001
